id,companyName,productName,quantity,unitPrice,totalAmount,deliveryDate,status
DEL001,株式会社サンプル商事,ノートパソコン,5,120000,600000,2024-01-15,発行済み
DEL002,田中電機株式会社,プリンター,3,80000,240000,2024-01-16,発行済み
DEL003,山田工業,モニター,8,45000,360000,2024-01-17,未発行
DEL004,佐藤商店,キーボード,20,5000,100000,2024-01-18,発行済み
DEL005,鈴木システムズ,マウス,15,3000,45000,2024-01-19,未発行
DEL006,高橋テクノロジー,外付けHDD,10,25000,250000,2024-01-20,発行済み
DEL007,中村エレクトロニクス,USBメモリ,50,2000,100000,2024-01-21,発行済み
DEL008,小林商会,Webカメラ,12,15000,180000,2024-01-22,未発行
DEL009,加藤情報システム,ヘッドセット,25,8000,200000,2024-01-23,発行済み
DEL010,伊藤機械,スピーカー,8,12000,96000,2024-01-24,未発行
DEL011,渡辺産業,タブレット,6,60000,360000,2024-01-25,発行済み
DEL012,松本電子,スマートフォン,4,100000,400000,2024-01-26,発行済み
DEL013,木村商事,ルーター,15,18000,270000,2024-01-27,未発行
DEL014,林総合商社,スイッチ,20,12000,240000,2024-01-28,発行済み
DEL015,清水テック,LANケーブル,100,1500,150000,2024-01-29,未発行 
