id,materialCode,materialName,supplierName,currentStock,orderPoint,orderQuantity,unitPrice,totalAmount,orderDate,expectedDeliveryDate,status
ORD001,MAT001,ステンレス鋼板,田中鋼材株式会社,50,100,200,15000,3000000,2024-01-10,2024-01-20,発注済み
ORD002,MAT002,アルミニウム合金,山田金属,25,50,100,8000,800000,2024-01-11,2024-01-21,納品済み
ORD003,MAT003,樹脂パーツ,佐藤化学工業,80,120,150,2500,375000,2024-01-12,2024-01-22,完了
ORD004,MAT004,電子部品,鈴木電子,15,30,60,12000,720000,2024-01-13,2024-01-23,発注済み
ORD005,MAT005,ゴム製品,高橋ゴム,40,80,100,3500,350000,2024-01-14,2024-01-24,納品済み
ORD006,MAT006,精密機械部品,中村精密,10,20,40,25000,1000000,2024-01-15,2024-01-25,発注済み
ORD007,MAT007,包装材料,小林包装,200,300,500,500,250000,2024-01-16,2024-01-26,完了
ORD008,MAT008,工具類,加藤工具,30,50,80,15000,1200000,2024-01-17,2024-01-27,発注済み
ORD009,MAT009,潤滑油,伊藤石油,60,100,150,1800,270000,2024-01-18,2024-01-28,納品済み
ORD010,MAT010,安全装備,渡辺安全用品,20,40,60,8500,510000,2024-01-19,2024-01-29,発注済み
ORD011,MAT011,計測機器,松本計測,5,10,20,45000,900000,2024-01-20,2024-01-30,発注済み
ORD012,MAT012,配線材料,木村電線,100,200,300,1200,360000,2024-01-21,2024-01-31,納品済み
ORD013,MAT013,接着剤,林化学,75,150,200,2800,560000,2024-01-22,2024-02-01,完了
ORD014,MAT014,研磨材,清水研磨,35,70,100,6500,650000,2024-01-23,2024-02-02,発注済み
ORD015,MAT015,保護フィルム,吉田フィルム,120,200,250,1500,375000,2024-01-24,2024-02-03,納品済み 
